model_name,anomaly_type,intensity_level,n_events,detection_rate,mean_detection_delay,mean_mctd,cost_to_detect_ratio,avoided_cost_ratio,dollar_recall
EWMA,spike,low,180.0,0.0278,0.2,2.5261,0.9152,0.0848,0.085
IsolationForest,spike,low,180.0,0.3556,0.0,1.147,0.4156,0.5844,0.5844
LSTM_AE,spike,low,180.0,0.3833,0.23,1.0359,0.3753,0.6247,0.6793
Prophet,spike,low,180.0,0.5722,0.03,1.1365,0.4118,0.5882,0.6141
SeasonalNaiveMAD,spike,low,180.0,0.0667,0.0,2.4804,0.8986,0.1014,0.1014
EWMA,spike,mid,180.0,0.55,0.22,5.3233,0.4956,0.5044,0.6204
IsolationForest,spike,mid,180.0,0.8611,0.06,0.2377,0.0221,0.9779,0.985
LSTM_AE,spike,mid,180.0,0.9111,0.07,0.145,0.0135,0.9865,0.9932
Prophet,spike,mid,180.0,0.9889,0.02,0.0129,0.0012,0.9988,0.9993
SeasonalNaiveMAD,spike,mid,180.0,0.5222,0.13,5.4172,0.5043,0.4957,0.5735
EWMA,spike,high,180.0,0.9556,0.02,1.3965,0.0445,0.9555,0.9799
IsolationForest,spike,high,180.0,0.9944,0.0,0.0062,0.0002,0.9998,0.9998
LSTM_AE,spike,high,180.0,0.9944,0.01,0.0142,0.0005,0.9995,0.9998
Prophet,spike,high,180.0,1.0,0.0,0.0,0.0,1.0,1.0
SeasonalNaiveMAD,spike,high,180.0,0.9778,0.01,1.0174,0.0324,0.9676,0.9971
EWMA,contextual,low,180.0,0.0167,0.0,4.1636,0.997,0.003,0.003
IsolationForest,contextual,low,180.0,0.4944,0.2,2.5794,0.6176,0.3824,0.4088
LSTM_AE,contextual,low,180.0,0.6,0.03,0.6729,0.1611,0.8389,0.8402
Prophet,contextual,low,180.0,0.7056,0.05,1.1134,0.2666,0.7334,0.7382
SeasonalNaiveMAD,contextual,low,180.0,0.0778,0.86,4.0128,0.9609,0.0391,0.0904
EWMA,contextual,mid,180.0,0.4,0.03,7.0089,0.8728,0.1272,0.1287
IsolationForest,contextual,mid,180.0,0.8889,0.06,0.7678,0.0956,0.9044,0.9555
LSTM_AE,contextual,mid,180.0,0.8889,0.01,0.6468,0.0805,0.9195,0.9204
Prophet,contextual,mid,180.0,0.9889,0.01,0.0053,0.0007,0.9993,0.9997
SeasonalNaiveMAD,contextual,mid,180.0,0.3778,0.22,5.3098,0.6612,0.3388,0.3879
EWMA,contextual,high,180.0,0.6056,0.05,6.3009,0.4181,0.5819,0.5836
IsolationForest,contextual,high,180.0,0.9611,0.0,0.5957,0.0395,0.9605,0.9605
LSTM_AE,contextual,high,180.0,0.9833,0.01,0.0162,0.0011,0.9989,0.9992
Prophet,contextual,high,180.0,1.0,0.0,0.0,0.0,1.0,1.0
SeasonalNaiveMAD,contextual,high,180.0,0.7889,0.01,2.3313,0.1547,0.8453,0.8464
EWMA,gradual,low,180.0,0.1167,7.76,12.5133,0.993,0.007,0.0225
IsolationForest,gradual,low,180.0,0.5111,3.79,4.1101,0.3262,0.6738,0.7905
LSTM_AE,gradual,low,180.0,0.7444,2.16,1.5831,0.1256,0.8744,0.9246
Prophet,gradual,low,180.0,0.75,3.7,2.2178,0.176,0.824,0.9465
SeasonalNaiveMAD,gradual,low,180.0,0.1722,6.19,11.2675,0.8941,0.1059,0.1679
EWMA,gradual,mid,180.0,0.1444,7.08,15.7039,0.8794,0.1206,0.1728
IsolationForest,gradual,mid,180.0,0.6278,3.69,4.2015,0.2353,0.7647,0.8866
LSTM_AE,gradual,mid,180.0,0.6667,3.02,4.4764,0.2507,0.7493,0.9096
Prophet,gradual,mid,180.0,0.8722,4.31,3.2364,0.1812,0.8188,0.9903
SeasonalNaiveMAD,gradual,mid,180.0,0.3833,6.06,13.8897,0.7778,0.2222,0.3599
EWMA,gradual,high,180.0,0.4333,6.54,24.6466,0.6883,0.3117,0.5411
IsolationForest,gradual,high,180.0,0.9222,3.11,3.4012,0.095,0.905,0.995
LSTM_AE,gradual,high,180.0,0.8389,2.47,2.5393,0.0709,0.9291,0.9853
Prophet,gradual,high,180.0,0.9833,2.62,2.706,0.0756,0.9244,0.9993
SeasonalNaiveMAD,gradual,high,180.0,0.6167,5.09,22.535,0.6293,0.3707,0.5593
