model_name,anomaly_type,n_events,detection_rate,mean_detection_delay,mean_mctd,cost_to_detect_ratio,avoided_cost_ratio,dollar_recall
EWMA,spike,540.0,0.5111,0.09,3.082,0.2059,0.7941,0.8389
IsolationForest,spike,540.0,0.737,0.03,0.4636,0.031,0.969,0.9707
LSTM_AE,spike,540.0,0.763,0.07,0.3983,0.0266,0.9734,0.9785
Prophet,spike,540.0,0.8537,0.01,0.3832,0.0256,0.9744,0.9761
SeasonalNaiveMAD,spike,540.0,0.5222,0.05,2.9717,0.1985,0.8015,0.8407
EWMA,contextual,540.0,0.3407,0.04,5.8245,0.6406,0.3594,0.3608
IsolationForest,contextual,540.0,0.7815,0.06,1.3143,0.1445,0.8555,0.8746
LSTM_AE,contextual,540.0,0.8241,0.01,0.4453,0.049,0.951,0.9517
Prophet,contextual,540.0,0.8981,0.02,0.3729,0.041,0.959,0.9598
SeasonalNaiveMAD,contextual,540.0,0.4148,0.13,3.8846,0.4272,0.5728,0.5957
EWMA,gradual,540.0,0.2315,6.86,17.6213,0.7977,0.2023,0.3433
IsolationForest,gradual,540.0,0.687,3.46,3.9043,0.1767,0.8233,0.9269
LSTM_AE,gradual,540.0,0.75,2.53,2.8663,0.1298,0.8702,0.9534
Prophet,gradual,540.0,0.8685,3.5,2.72,0.1231,0.8769,0.9868
SeasonalNaiveMAD,gradual,540.0,0.3907,5.57,15.8974,0.7197,0.2803,0.4311
