service,days_observed,nonzero_days,mean_daily_cost,alert_count,alert_rate,flagged_dates,top_anomaly_dates
AWS / Analytics,30,8,0.7667,3,0.1,2024-09-04;2024-09-07;2024-09-25,2024-09-04;2024-09-25;2024-09-07
AWS / Compute,30,19,33.0667,3,0.1,2024-09-12;2024-09-13;2024-09-24,2024-09-13;2024-09-24;2024-09-12
AWS / Databases,30,21,16.5,2,0.067,2024-09-04;2024-09-15,2024-09-15;2024-09-04
AWS / Other,30,30,54.0427,1,0.033,2024-09-20,2024-09-20
Microsoft / AI and Machine Learning,19,19,13.2048,2,0.105,2024-09-07;2024-09-19,2024-09-19;2024-09-07
Microsoft / Analytics,19,19,2182.171,4,0.211,2024-09-06;2024-09-07;2024-09-15;2024-09-19,2024-09-19;2024-09-15;2024-09-06
Microsoft / Compute,19,19,513.4785,2,0.105,2024-09-04;2024-09-19,2024-09-19;2024-09-04
Microsoft / Databases,19,19,355.0404,2,0.105,2024-09-16;2024-09-19,2024-09-19;2024-09-16
Microsoft / Integration,19,19,108.7477,3,0.158,2024-09-08;2024-09-18;2024-09-19,2024-09-19;2024-09-18;2024-09-08
Microsoft / Management and Governance,19,19,15.688,4,0.211,2024-09-06;2024-09-12;2024-09-18;2024-09-19,2024-09-19;2024-09-06;2024-09-12
Microsoft / Networking,19,19,119.3848,6,0.316,2024-09-04;2024-09-06;2024-09-07;2024-09-08;2024-09-15;2024-09-19,2024-09-19;2024-09-07;2024-09-04
Microsoft / Other,19,19,226.5997,3,0.158,2024-09-09;2024-09-16;2024-09-19,2024-09-19;2024-09-16;2024-09-09
Microsoft / Security,19,19,1.2742,1,0.053,2024-09-19,2024-09-19
Microsoft / Storage,19,19,37.6989,3,0.158,2024-09-04;2024-09-14;2024-09-19,2024-09-19;2024-09-14;2024-09-04
Microsoft / Web,19,19,215.4571,5,0.263,2024-09-06;2024-09-11;2024-09-12;2024-09-13;2024-09-19,2024-09-19;2024-09-06;2024-09-11
Oracle / Compute,30,15,24.6667,1,0.033,2024-09-21,2024-09-21
Oracle / Web,15,15,9.8667,3,0.2,2024-09-13;2024-09-14;2024-09-21,2024-09-13;2024-09-21;2024-09-14
Oracle / nan,15,15,2.4667,3,0.2,2024-09-13;2024-09-14;2024-09-21,2024-09-13;2024-09-21;2024-09-14
