model_name,anomaly_type,intensity_level,n_events,detection_rate,mean_detection_delay,mean_mctd,cost_to_detect_ratio,avoided_cost_ratio,dollar_recall
EWMA,spike,low,36.0,0.0278,0.0,62.4341,0.8513,0.1487,0.1487
IsolationForest,spike,low,36.0,0.3056,0.0,43.0516,0.587,0.413,0.413
LSTM_AE,spike,low,36.0,0.5278,0.0,11.8328,0.1613,0.8387,0.8387
Prophet,spike,low,36.0,0.4167,0.0,25.7116,0.3506,0.6494,0.6494
SeasonalNaiveMAD,spike,low,36.0,0.0,,73.3414,1.0,0.0,0.0
EWMA,spike,mid,36.0,0.3333,0.17,132.3335,0.5731,0.4269,0.4488
IsolationForest,spike,mid,36.0,0.8333,0.07,39.1897,0.1697,0.8303,0.9098
LSTM_AE,spike,mid,36.0,0.9722,0.0,0.2298,0.001,0.999,0.999
Prophet,spike,mid,36.0,0.9444,0.03,25.4462,0.1102,0.8898,0.9155
SeasonalNaiveMAD,spike,mid,36.0,0.3333,0.08,147.1308,0.6372,0.3628,0.3655
EWMA,spike,high,36.0,0.9167,0.12,143.6954,0.1543,0.8457,0.8862
IsolationForest,spike,high,36.0,1.0,0.0,0.0,0.0,1.0,1.0
LSTM_AE,spike,high,36.0,1.0,0.06,1.3062,0.0014,0.9986,1.0
Prophet,spike,high,36.0,1.0,0.0,0.0,0.0,1.0,1.0
SeasonalNaiveMAD,spike,high,36.0,1.0,0.03,11.035,0.0119,0.9881,1.0
EWMA,contextual,low,36.0,0.1389,0.2,140.559,0.9151,0.0849,0.0855
IsolationForest,contextual,low,36.0,0.7222,0.0,11.5229,0.075,0.925,0.925
LSTM_AE,contextual,low,36.0,0.7778,0.0,2.1749,0.0142,0.9858,0.9858
Prophet,contextual,low,36.0,0.7778,0.04,1.9947,0.013,0.987,0.9879
SeasonalNaiveMAD,contextual,low,36.0,0.0,,153.5955,1.0,0.0,0.0
EWMA,contextual,mid,36.0,0.5833,0.24,154.8365,0.5533,0.4467,0.5477
IsolationForest,contextual,mid,36.0,0.9444,0.0,0.8674,0.0031,0.9969,0.9969
LSTM_AE,contextual,mid,36.0,0.9167,0.03,0.9091,0.0032,0.9968,0.9974
Prophet,contextual,mid,36.0,1.0,0.0,0.0,0.0,1.0,1.0
SeasonalNaiveMAD,contextual,mid,36.0,0.3333,0.0,134.6811,0.4813,0.5187,0.5187
EWMA,contextual,high,36.0,0.5,0.17,193.2236,0.3732,0.6268,0.6297
IsolationForest,contextual,high,36.0,0.9444,0.0,0.7544,0.0015,0.9985,0.9985
LSTM_AE,contextual,high,36.0,0.9167,0.06,2.1601,0.0042,0.9958,0.9977
Prophet,contextual,high,36.0,1.0,0.0,0.0,0.0,1.0,1.0
SeasonalNaiveMAD,contextual,high,36.0,0.8333,0.0,47.7718,0.0923,0.9077,0.9077
EWMA,gradual,low,36.0,0.0556,2.0,327.9478,0.9649,0.0351,0.0354
IsolationForest,gradual,low,36.0,0.6944,2.96,62.0302,0.1825,0.8175,0.9533
LSTM_AE,gradual,low,36.0,0.8056,1.9,25.0198,0.0736,0.9264,0.981
Prophet,gradual,low,36.0,0.7222,1.92,38.5862,0.1135,0.8865,0.9582
SeasonalNaiveMAD,gradual,low,36.0,0.0556,13.0,337.5154,0.993,0.007,0.0685
EWMA,gradual,mid,36.0,0.25,6.33,421.6497,0.8725,0.1275,0.2608
IsolationForest,gradual,mid,36.0,0.6111,4.64,173.2324,0.3584,0.6416,0.7978
LSTM_AE,gradual,mid,36.0,0.6944,1.28,69.3904,0.1436,0.8564,0.8824
Prophet,gradual,mid,36.0,0.9167,3.42,41.6645,0.0862,0.9138,0.9952
SeasonalNaiveMAD,gradual,mid,36.0,0.3333,6.5,394.0376,0.8153,0.1847,0.3115
EWMA,gradual,high,36.0,0.3056,5.18,635.0868,0.6298,0.3702,0.4762
IsolationForest,gradual,high,36.0,0.8889,2.38,69.8347,0.0693,0.9307,0.9919
LSTM_AE,gradual,high,36.0,0.9167,2.12,62.2333,0.0617,0.9383,0.9865
Prophet,gradual,high,36.0,0.9722,2.06,43.5387,0.0432,0.9568,0.9991
SeasonalNaiveMAD,gradual,high,36.0,0.5833,5.24,597.1576,0.5922,0.4078,0.6438
