model_name,anomaly_type,n_events,detection_rate,mean_detection_delay,mean_mctd,cost_to_detect_ratio,avoided_cost_ratio,dollar_recall
EWMA,spike,108.0,0.4259,0.13,112.821,0.274,0.726,0.7607
IsolationForest,spike,108.0,0.713,0.03,27.4138,0.0666,0.9334,0.9483
LSTM_AE,spike,108.0,0.8333,0.02,4.4563,0.0108,0.9892,0.9902
Prophet,spike,108.0,0.787,0.01,17.0526,0.0414,0.9586,0.9634
SeasonalNaiveMAD,spike,108.0,0.4444,0.04,77.169,0.1874,0.8126,0.822
EWMA,contextual,108.0,0.4074,0.2,162.873,0.5137,0.4863,0.5177
IsolationForest,contextual,108.0,0.8704,0.0,4.3816,0.0138,0.9862,0.9862
LSTM_AE,contextual,108.0,0.8704,0.03,1.748,0.0055,0.9945,0.9957
Prophet,contextual,108.0,0.9259,0.01,0.6649,0.0021,0.9979,0.998
SeasonalNaiveMAD,contextual,108.0,0.3889,0.0,112.0162,0.3533,0.6467,0.6467
EWMA,gradual,108.0,0.2037,5.36,461.5614,0.756,0.244,0.3375
IsolationForest,gradual,108.0,0.7315,3.19,101.6991,0.1666,0.8334,0.9335
LSTM_AE,gradual,108.0,0.8056,1.8,52.2145,0.0855,0.9145,0.958
Prophet,gradual,108.0,0.8704,2.5,41.2631,0.0676,0.9324,0.9905
SeasonalNaiveMAD,gradual,108.0,0.3241,6.11,442.9035,0.7255,0.2745,0.4494
